Model,Layer,Validation Loss,Test Loss,Sparse Ratio
Pruned SAE,3,1.8077,,0.41
Pruned SAE,3,1.8169,,0.39
Pruned SAE,3,1.8208,,0.37
Pruned SAE,3,1.8235,,0.35
Pruned SAE,3,1.8254,,0.33
Pruned SAE,3,1.8233,,0.31
Pruned SAE,3,1.828,,0.29
Pruned SAE,3,1.8398,,0.27
Pruned SAE,3,1.864,,0.25
Best sparse ratio pruned SAE,3,1.7672,1.8182,0.55
SAE trained on pruned gpt2-small ,4,4.1875,4.247,0.0
Pretrained SAE,4,1.7437,1.7834,0.0
Pruned SAE,4,1.7861,,0.99
Pruned SAE,4,1.7855,,0.97
Pruned SAE,4,1.7851,,0.95
Pruned SAE,4,1.7843,,0.93
Pruned SAE,4,1.7835,,0.91
Pruned SAE,4,1.7823,,0.89
Pruned SAE,4,1.7809,,0.87
Pruned SAE,4,1.7795,,0.85
Pruned SAE,4,1.778,,0.83
Pruned SAE,4,1.776,,0.81
Pruned SAE,4,1.7747,,0.79
Pruned SAE,4,1.7735,,0.77
Pruned SAE,4,1.7723,,0.75
Pruned SAE,4,1.7711,,0.73
Pruned SAE,4,1.7704,,0.71
Pruned SAE,4,1.7688,,0.69
Pruned SAE,4,1.7679,,0.67
Pruned SAE,4,1.7675,,0.65
Pruned SAE,4,1.7664,,0.63
Pruned SAE,4,1.7649,,0.61
Pruned SAE,4,1.7642,,0.59
Pruned SAE,4,1.7635,,0.57
Pruned SAE,4,1.762,,0.55
Pruned SAE,4,1.7618,,0.53
Pruned SAE,4,1.7605,,0.51
Pruned SAE,4,1.7598,,0.49
Pruned SAE,4,1.7589,,0.47
Pruned SAE,4,1.758,,0.45
Pruned SAE,4,1.7578,,0.43
Pruned SAE,4,1.7567,,0.41
Pruned SAE,4,1.7555,,0.39
Pruned SAE,4,1.7536,,0.37
Pruned SAE,4,1.7527,,0.35
Pruned SAE,4,1.7512,,0.33
Pruned SAE,4,1.7501,,0.31
Pruned SAE,4,1.7492,,0.29
Pruned SAE,4,1.7484,,0.27
Pruned SAE,4,1.7476,,0.25
Best sparse ratio pruned SAE,4,1.7476,1.7878,0.25
SAE trained on pruned gpt2-small ,5,1.767,1.8113,0.0
Pretrained SAE,5,1.8934,1.9324,0.0
Pruned SAE,5,1.9141,,0.99
Pruned SAE,5,2.1286,,0.97
Pruned SAE,5,2.3614,,0.95
Pruned SAE,5,2.5326,,0.93
Pruned SAE,5,3.199,,0.91
Pruned SAE,5,3.2979,,0.89
Pruned SAE,5,3.8176,,0.87
Pruned SAE,5,3.3641,,0.85
Pruned SAE,5,3.9433,,0.83
Pruned SAE,5,3.4155,,0.81
Pruned SAE,5,3.2882,,0.79
Pruned SAE,5,3.9274,,0.77
Pruned SAE,5,4.0553,,0.75
Pruned SAE,5,3.4607,,0.73
Pruned SAE,5,3.5741,,0.71
Pruned SAE,5,3.7029,,0.69
Pruned SAE,5,3.5594,,0.67
Pruned SAE,5,4.8607,,0.65
