Model,Layer,Validation Loss,Test Loss,Sparse Ratio
Pruned SAE,3,2.5721,,0.41
Pruned SAE,3,2.5957,,0.39
Pruned SAE,3,2.6167,,0.37
Pruned SAE,3,2.5768,,0.35
Pruned SAE,3,2.5865,,0.33
Pruned SAE,3,2.5928,,0.31
Pruned SAE,3,2.6093,,0.29
Pruned SAE,3,2.6127,,0.27
Pruned SAE,3,2.6155,,0.25
Best sparse ratio pruned SAE,3,2.5258,2.5803,0.65
SAE trained on pruned gpt2-small ,4,3.9354,3.9157,0.0
Pretrained SAE,4,2.4924,2.5374,0.0
Pruned SAE,4,2.5797,,0.99
Pruned SAE,4,2.5787,,0.97
Pruned SAE,4,2.5776,,0.95
Pruned SAE,4,2.5759,,0.93
Pruned SAE,4,2.5737,,0.91
Pruned SAE,4,2.5712,,0.89
Pruned SAE,4,2.5682,,0.87
Pruned SAE,4,2.5652,,0.85
Pruned SAE,4,2.5622,,0.83
Pruned SAE,4,2.5593,,0.81
Pruned SAE,4,2.556,,0.79
Pruned SAE,4,2.5534,,0.77
Pruned SAE,4,2.5508,,0.75
Pruned SAE,4,2.5484,,0.73
Pruned SAE,4,2.5462,,0.71
Pruned SAE,4,2.543,,0.69
Pruned SAE,4,2.5414,,0.67
Pruned SAE,4,2.5392,,0.65
Pruned SAE,4,2.5359,,0.63
Pruned SAE,4,2.5339,,0.61
Pruned SAE,4,2.5318,,0.59
Pruned SAE,4,2.53,,0.57
Pruned SAE,4,2.5279,,0.55
Pruned SAE,4,2.5264,,0.53
Pruned SAE,4,2.5247,,0.51
Pruned SAE,4,2.5228,,0.49
Pruned SAE,4,2.5208,,0.47
Pruned SAE,4,2.5191,,0.45
Pruned SAE,4,2.5169,,0.43
Pruned SAE,4,2.5145,,0.41
Pruned SAE,4,2.5126,,0.39
Pruned SAE,4,2.5103,,0.37
Pruned SAE,4,2.5083,,0.35
Pruned SAE,4,2.5065,,0.33
Pruned SAE,4,2.5053,,0.31
Pruned SAE,4,2.504,,0.29
Pruned SAE,4,2.5023,,0.27
Pruned SAE,4,2.5012,,0.25
Best sparse ratio pruned SAE,4,2.5012,2.546,0.25
SAE trained on pruned gpt2-small ,5,2.4718,2.5178,0.0
Pretrained SAE,5,2.7078,2.756,0.0
Pruned SAE,5,2.631,,0.99
Pruned SAE,5,3.082,,0.97
Pruned SAE,5,3.4841,,0.95
Pruned SAE,5,3.303,,0.93
Pruned SAE,5,3.9069,,0.91
Pruned SAE,5,4.1947,,0.89
Pruned SAE,5,3.7548,,0.87
Pruned SAE,5,3.7474,,0.85
Pruned SAE,5,3.8346,,0.83
Pruned SAE,5,3.9862,,0.81
Pruned SAE,5,3.8151,,0.79
Pruned SAE,5,4.0047,,0.77
Pruned SAE,5,3.9164,,0.75
Pruned SAE,5,3.94,,0.73
Pruned SAE,5,4.0048,,0.71
Pruned SAE,5,4.0416,,0.69
Pruned SAE,5,3.8981,,0.67
Pruned SAE,5,4.0733,,0.65
Pruned SAE,5,4.1501,,0.63
Pruned SAE,5,4.05,,0.61
Pruned SAE,5,3.9979,,0.59
Pruned SAE,5,3.9937,,0.57
Pruned SAE,5,4.0171,,0.55
Pruned SAE,5,3.8976,,0.53
Pruned SAE,5,3.9692,,0.51
Pruned SAE,5,3.8877,,0.49
Pruned SAE,5,3.9483,,0.47
Pruned SAE,5,3.9093,,0.45
Pruned SAE,5,3.8755,,0.43
Pruned SAE,5,4.0794,,0.41
Pruned SAE,5,3.8334,,0.39
Pruned SAE,5,3.637,,0.37
Pruned SAE,5,3.7655,,0.35
Pruned SAE,5,3.5978,,0.33
Pruned SAE,5,3.1632,,0.31
Pruned SAE,5,3.0706,,0.29
Pruned SAE,5,2.9655,,0.27
Pruned SAE,5,3.0062,,0.25
Best sparse ratio pruned SAE,5,2.631,2.7818,0.99
SAE trained on pruned gpt2-small ,6,2.9069,2.9467,0.0
Pretrained SAE,6,2.4586,2.5048,0.0
Pruned SAE,6,2.5602,,0.99
Pruned SAE,6,2.5601,,0.97
Pruned SAE,6,2.5574,,0.95
Pruned SAE,6,2.5498,,0.93
Pruned SAE,6,2.5501,,0.91
Pruned SAE,6,2.5499,,0.89
Pruned SAE,6,2.54,,0.87
Pruned SAE,6,2.5364,,0.85
Pruned SAE,6,2.5357,,0.83
Pruned SAE,6,2.5315,,0.81
Pruned SAE,6,2.5327,,0.79
Pruned SAE,6,2.532,,0.77
Pruned SAE,6,2.5324,,0.75
Pruned SAE,6,2.5302,,0.73
Pruned SAE,6,2.5271,,0.71
Pruned SAE,6,2.5272,,0.69
Pruned SAE,6,2.5259,,0.67
Pruned SAE,6,2.525,,0.65
Pruned SAE,6,2.5233,,0.63
Pruned SAE,6,2.5196,,0.61
Pruned SAE,6,2.5139,,0.59
Pruned SAE,6,2.5152,,0.57
Pruned SAE,6,2.5118,,0.55
Pruned SAE,6,2.506,,0.53
Pruned SAE,6,2.5059,,0.51
Pruned SAE,6,2.5026,,0.49
Pruned SAE,6,2.5013,,0.47
Pruned SAE,6,2.4971,,0.45
Pruned SAE,6,2.4928,,0.43
Pruned SAE,6,2.4919,,0.41
Pruned SAE,6,2.4868,,0.39
