Model,Layer,Validation Loss,Test Loss,Sparse Ratio
Pruned SAE,3,2.9702,,0.43
Pruned SAE,3,2.9831,,0.41
Pruned SAE,3,2.9616,,0.39
Pruned SAE,3,2.9637,,0.37
Pruned SAE,3,2.9655,,0.35
Pruned SAE,3,2.9648,,0.33
Pruned SAE,3,2.9598,,0.31
Pruned SAE,3,2.9599,,0.29
Pruned SAE,3,2.9542,,0.27
Pruned SAE,3,2.9581,,0.25
Best sparse ratio pruned SAE,3,2.933,3.0305,0.79
SAE trained on pruned gpt2-small ,4,3.5533,3.471,0.0
Pretrained SAE,4,2.9265,3.0219,0.0
Pruned SAE,4,2.9526,,0.99
Pruned SAE,4,2.9524,,0.97
Pruned SAE,4,2.9519,,0.95
Pruned SAE,4,2.9512,,0.93
Pruned SAE,4,2.9505,,0.91
Pruned SAE,4,2.9499,,0.89
Pruned SAE,4,2.9489,,0.87
Pruned SAE,4,2.948,,0.85
Pruned SAE,4,2.9472,,0.83
Pruned SAE,4,2.9462,,0.81
Pruned SAE,4,2.9455,,0.79
Pruned SAE,4,2.9449,,0.77
Pruned SAE,4,2.9439,,0.75
Pruned SAE,4,2.9433,,0.73
Pruned SAE,4,2.9427,,0.71
Pruned SAE,4,2.9419,,0.69
Pruned SAE,4,2.9413,,0.67
Pruned SAE,4,2.9408,,0.65
Pruned SAE,4,2.9402,,0.63
Pruned SAE,4,2.9396,,0.61
Pruned SAE,4,2.9392,,0.59
Pruned SAE,4,2.9386,,0.57
Pruned SAE,4,2.938,,0.55
Pruned SAE,4,2.9375,,0.53
Pruned SAE,4,2.9368,,0.51
Pruned SAE,4,2.936,,0.49
Pruned SAE,4,2.9353,,0.47
Pruned SAE,4,2.9347,,0.45
Pruned SAE,4,2.934,,0.43
Pruned SAE,4,2.9335,,0.41
Pruned SAE,4,2.9328,,0.39
Pruned SAE,4,2.9324,,0.37
Pruned SAE,4,2.9318,,0.35
Pruned SAE,4,2.9312,,0.33
Pruned SAE,4,2.9305,,0.31
Pruned SAE,4,2.9298,,0.29
Pruned SAE,4,2.9293,,0.27
Pruned SAE,4,2.9289,,0.25
Best sparse ratio pruned SAE,4,2.9289,3.0244,0.25
SAE trained on pruned gpt2-small ,5,2.9556,3.058,0.0
Pretrained SAE,5,3.2956,3.4152,0.0
Pruned SAE,5,3.6566,,0.99
Pruned SAE,5,4.1425,,0.97
Pruned SAE,5,4.6684,,0.95
Pruned SAE,5,4.5468,,0.93
Pruned SAE,5,4.3186,,0.91
Pruned SAE,5,4.2442,,0.89
Pruned SAE,5,4.2995,,0.87
Pruned SAE,5,4.0935,,0.85
Pruned SAE,5,4.0857,,0.83
Pruned SAE,5,4.0318,,0.81
Pruned SAE,5,3.9723,,0.79
Pruned SAE,5,4.0483,,0.77
Pruned SAE,5,3.9822,,0.75
Pruned SAE,5,3.9995,,0.73
Pruned SAE,5,4.0986,,0.71
Pruned SAE,5,4.2627,,0.69
Pruned SAE,5,4.1521,,0.67
Pruned SAE,5,4.22,,0.65
Pruned SAE,5,4.0396,,0.63
Pruned SAE,5,4.1881,,0.61
Pruned SAE,5,4.0782,,0.59
Pruned SAE,5,4.2515,,0.57
Pruned SAE,5,4.2285,,0.55
Pruned SAE,5,4.1898,,0.53
Pruned SAE,5,4.0422,,0.51
Pruned SAE,5,4.1695,,0.49
Pruned SAE,5,4.2094,,0.47
Pruned SAE,5,4.0982,,0.45
Pruned SAE,5,3.9997,,0.43
Pruned SAE,5,3.9804,,0.41
Pruned SAE,5,3.9553,,0.39
Pruned SAE,5,3.9032,,0.37
Pruned SAE,5,3.809,,0.35
Pruned SAE,5,3.6406,,0.33
Pruned SAE,5,3.608,,0.31
Pruned SAE,5,3.5124,,0.29
Pruned SAE,5,3.4442,,0.27
Pruned SAE,5,3.3951,,0.25
