Model,Layer,Validation Loss,Test Loss,Sparse Ratio
Pruned SAE,3,1.8876,,0.41
Pruned SAE,3,1.8284,,0.39
Pruned SAE,3,1.8594,,0.37
Pruned SAE,3,1.8711,,0.35
Pruned SAE,3,1.8574,,0.33
Pruned SAE,3,1.8431,,0.31
Pruned SAE,3,1.8304,,0.29
Pruned SAE,3,1.833,,0.27
Pruned SAE,3,1.838,,0.25
Best sparse ratio pruned SAE,3,1.7146,1.6834,0.99
SAE trained on pruned gpt2-small ,4,4.1164,4.1702,0.0
Pretrained SAE,4,1.7134,1.6834,0.0
Pruned SAE,4,1.7298,,0.99
Pruned SAE,4,1.7296,,0.97
Pruned SAE,4,1.7295,,0.95
Pruned SAE,4,1.7292,,0.93
Pruned SAE,4,1.7286,,0.91
Pruned SAE,4,1.7285,,0.89
Pruned SAE,4,1.7285,,0.87
Pruned SAE,4,1.7282,,0.85
Pruned SAE,4,1.7274,,0.83
Pruned SAE,4,1.727,,0.81
Pruned SAE,4,1.7268,,0.79
Pruned SAE,4,1.7262,,0.77
Pruned SAE,4,1.7261,,0.75
Pruned SAE,4,1.7258,,0.73
Pruned SAE,4,1.7249,,0.71
Pruned SAE,4,1.7245,,0.69
Pruned SAE,4,1.7244,,0.67
Pruned SAE,4,1.7241,,0.65
Pruned SAE,4,1.7232,,0.63
Pruned SAE,4,1.7229,,0.61
Pruned SAE,4,1.7218,,0.59
Pruned SAE,4,1.7219,,0.57
Pruned SAE,4,1.722,,0.55
Pruned SAE,4,1.7212,,0.53
Pruned SAE,4,1.7208,,0.51
Pruned SAE,4,1.7204,,0.49
Pruned SAE,4,1.7191,,0.47
Pruned SAE,4,1.719,,0.45
Pruned SAE,4,1.7186,,0.43
Pruned SAE,4,1.7178,,0.41
Pruned SAE,4,1.7175,,0.39
Pruned SAE,4,1.7168,,0.37
Pruned SAE,4,1.7172,,0.35
Pruned SAE,4,1.7178,,0.33
Pruned SAE,4,1.7172,,0.31
Pruned SAE,4,1.717,,0.29
Pruned SAE,4,1.7165,,0.27
Pruned SAE,4,1.7152,,0.25
Best sparse ratio pruned SAE,4,1.7152,1.6859,0.25
SAE trained on pruned gpt2-small ,5,1.7218,1.6957,0.0
Pretrained SAE,5,1.9584,1.9408,0.0
Pruned SAE,5,3.6934,,0.99
Pruned SAE,5,3.7141,,0.97
Pruned SAE,5,5.0347,,0.95
Pruned SAE,5,4.368,,0.93
Pruned SAE,5,4.4644,,0.91
Pruned SAE,5,4.2671,,0.89
Pruned SAE,5,5.0378,,0.87
Pruned SAE,5,4.2562,,0.85
Pruned SAE,5,3.979,,0.83
Pruned SAE,5,3.386,,0.81
Pruned SAE,5,4.4081,,0.79
Pruned SAE,5,3.7873,,0.77
Pruned SAE,5,3.497,,0.75
Pruned SAE,5,3.792,,0.73
Pruned SAE,5,5.1185,,0.71
Pruned SAE,5,4.7435,,0.69
Pruned SAE,5,3.9549,,0.67
Pruned SAE,5,4.737,,0.65
Pruned SAE,5,5.1856,,0.63
Pruned SAE,5,5.0539,,0.61
Pruned SAE,5,5.0411,,0.59
Pruned SAE,5,4.725,,0.57
Pruned SAE,5,4.6147,,0.55
Pruned SAE,5,4.55,,0.53
Pruned SAE,5,4.4805,,0.51
Pruned SAE,5,5.0292,,0.49
Pruned SAE,5,4.4123,,0.47
Pruned SAE,5,4.4653,,0.45
Pruned SAE,5,4.3722,,0.43
Pruned SAE,5,4.5158,,0.41
Pruned SAE,5,3.3357,,0.39
Pruned SAE,5,3.7508,,0.37
Pruned SAE,5,3.4552,,0.35
Pruned SAE,5,2.819,,0.33
Pruned SAE,5,2.8225,,0.31
Pruned SAE,5,2.5826,,0.29
Pruned SAE,5,2.1134,,0.27
Pruned SAE,5,2.0848,,0.25
Best sparse ratio pruned SAE,5,2.0848,2.0131,0.25
SAE trained on pruned gpt2-small ,6,1.8188,1.7874,0.0
Pretrained SAE,6,1.7273,1.7017,0.0
Pruned SAE,6,1.7527,,0.99
Pruned SAE,6,1.7548,,0.97
Pruned SAE,6,1.7527,,0.95
Pruned SAE,6,1.7541,,0.93
Pruned SAE,6,1.7463,,0.91
Pruned SAE,6,1.7438,,0.89
Pruned SAE,6,1.7471,,0.87
Pruned SAE,6,1.7515,,0.85
Pruned SAE,6,1.7459,,0.83
Pruned SAE,6,1.7439,,0.81
Pruned SAE,6,1.7438,,0.79
Pruned SAE,6,1.7417,,0.77
Pruned SAE,6,1.7422,,0.75
Pruned SAE,6,1.7419,,0.73
Pruned SAE,6,1.7405,,0.71
Pruned SAE,6,1.7405,,0.69
Pruned SAE,6,1.739,,0.67
Pruned SAE,6,1.7391,,0.65
Pruned SAE,6,1.7378,,0.63
Pruned SAE,6,1.7473,,0.61
Pruned SAE,6,1.7393,,0.59
Pruned SAE,6,1.7366,,0.57
Pruned SAE,6,1.7366,,0.55
Pruned SAE,6,1.7364,,0.53
Pruned SAE,6,1.7367,,0.51
Pruned SAE,6,1.7369,,0.49
Pruned SAE,6,1.7357,,0.47
Pruned SAE,6,1.7355,,0.45
Pruned SAE,6,1.7331,,0.43
Pruned SAE,6,1.73,,0.41
Pruned SAE,6,1.7342,,0.39
Pruned SAE,6,1.7296,,0.37
Pruned SAE,6,1.7302,,0.35
Pruned SAE,6,1.7265,,0.33
Pruned SAE,6,1.7272,,0.31
Pruned SAE,6,1.7265,,0.29
Pruned SAE,6,1.7251,,0.27
Pruned SAE,6,1.7261,,0.25
Best sparse ratio pruned SAE,6,1.7251,1.6993,0.27
SAE trained on pruned gpt2-small ,7,2.9964,2.9842,0.0
Pretrained SAE,7,1.7165,1.6877,0.0
Pruned SAE,7,1.9564,,0.99
Pruned SAE,7,2.2228,,0.97
Pruned SAE,7,2.5296,,0.95
Pruned SAE,7,1.9107,,0.93
Pruned SAE,7,1.9082,,0.91
Pruned SAE,7,1.8563,,0.89
Pruned SAE,7,2.0701,,0.87
Pruned SAE,7,2.1232,,0.85
Pruned SAE,7,2.3764,,0.83
Pruned SAE,7,2.5112,,0.81
Pruned SAE,7,3.0674,,0.79
Pruned SAE,7,3.1635,,0.77
Pruned SAE,7,3.0675,,0.75
Pruned SAE,7,3.0216,,0.73
Pruned SAE,7,3.6634,,0.71
Pruned SAE,7,3.4586,,0.69
Pruned SAE,7,3.1447,,0.67
Pruned SAE,7,2.8231,,0.65
Pruned SAE,7,2.974,,0.63
Pruned SAE,7,2.7507,,0.61
Pruned SAE,7,2.6265,,0.59
Pruned SAE,7,2.9333,,0.57
Pruned SAE,7,2.5612,,0.55
Pruned SAE,7,2.9091,,0.53
Pruned SAE,7,2.6958,,0.51
Pruned SAE,7,2.9235,,0.49
Pruned SAE,7,2.9626,,0.47
Pruned SAE,7,3.3027,,0.45
Pruned SAE,7,3.0531,,0.43
Pruned SAE,7,3.3377,,0.41
Pruned SAE,7,2.5824,,0.39
Pruned SAE,7,2.1011,,0.37
Pruned SAE,7,1.9507,,0.35
Pruned SAE,7,1.9031,,0.33
Pruned SAE,7,1.7792,,0.31
Pruned SAE,7,1.7811,,0.29
Pruned SAE,7,1.7466,,0.27
Pruned SAE,7,1.7419,,0.25
Best sparse ratio pruned SAE,7,1.7419,1.7165,0.25
SAE trained on pruned gpt2-small ,8,2.1235,2.1057,0.0
Pretrained SAE,8,1.7028,1.6748,0.0
Pruned SAE,8,1.7179,,0.99
Pruned SAE,8,1.7179,,0.97
Pruned SAE,8,1.7178,,0.95
Pruned SAE,8,1.7178,,0.93
Pruned SAE,8,1.7177,,0.91
Pruned SAE,8,1.7174,,0.89
Pruned SAE,8,1.717,,0.87
Pruned SAE,8,1.7168,,0.85
Pruned SAE,8,1.7165,,0.83
Pruned SAE,8,1.7162,,0.81
Pruned SAE,8,1.7158,,0.79
Pruned SAE,8,1.7156,,0.77
Pruned SAE,8,1.7152,,0.75
Pruned SAE,8,1.7148,,0.73
