SAE Variant,Layer,Validation Loss,Sparsity
Pruned,10,2.463,0.4
Pruned,10,2.458,0.35
Pruned,10,2.448,0.3
Pruned,10,2.44,0.25
Pretrained,11,2.428,0.0
Trained,11,2.4089,0.0
Pruned,11,2.468,0.99
Pruned,11,2.474,0.95
Pruned,11,2.47,0.85
Pruned,11,2.468,0.8
Pruned,11,2.471,0.75
Pruned,11,2.473,0.7
Pruned,11,2.466,0.65
Pruned,11,2.467,0.6
Pruned,11,2.467,0.55
Pruned,11,2.47,0.5
Pruned,11,2.469,0.45
Pruned,11,2.469,0.4
Pruned,11,2.466,0.35
Pruned,11,2.462,0.3
Pruned,11,2.463,0.25
